ns1:name,new_geo
parking,"43.040558104711735,-88.403443542134099"
parking,"43.738846297557956,-88.101203589211323"
parking,"44.05824550530776,-89.48556052822633"
parking,"43.412581542568311,-89.739862840399226"
parking,"42.790939453223821,-88.766082412884984"
parking,"44.029687974876673,-89.444447317944778"
parking,"42.779318357309627,-88.917816010644188"
parking,"42.796155564787895,-88.914297546903128"
parking,"44.675159127537363,-89.233808458824441"
parking,"44.151526529828139,-87.55374344127047"
parking,"44.123193107185891,-87.620281891019559"
parking,"45.539200275872481,-91.459814992115966"
parking,"44.428229831572196,-89.209211709147752"
parking,"43.398334932001418,-88.210890832900006"
parking,"43.840326840549814,-87.976513709166028"
parking,"43.833500160662695,-87.980343671142435"
parking,"43.819099811219424,-87.992554583904464"
parking,"43.353013756321424,-88.271120565963741"
parking,"44.118385803098441,-89.445236364377678"
parking,"45.59183383762101,-92.304632691749035"
parking,"45.612139098012904,-92.428949691873484"
parking,"44.339304936791898,-89.224211948586984"
parking,"45.33809681799282,-90.082601380880106"
parking,"43.022018823012836,-89.546229836823926"
parking,"44.211855216386517,-87.515828143882274"
parking,"44.51771926251449,-87.607991265477068"
parking,"45.33776143587918,-89.108082923629382"
parking,"43.161490279063571,-88.357554729734744"
parking,"43.258053786978884,-88.334294831690343"
parking,"44.13434562917309,-89.413627837009429"
parking,"43.318508178307326,-88.308083809027963"
parking,"45.001169279359161,-89.263684628802721"
parking,"45.018810573061664,-89.244437771064113"
parking,"45.423103983073105,-92.637613956986087"
parking,"44.645146586128625,-87.470049348936328"
parking,"45.340827296208808,-89.548948190882058"
parking,"45.030158697553375,-89.244293026357298"
parking,"42.943163451151499,-89.48184870712754"
parking,"43.314662852131548,-89.549164045171295"
parking,"45.57961616179297,-91.536657517376312"
parking,"45.639254072644185,-91.878259407708867"
parking,"45.574009167488569,-91.512471278217049"
parking,"45.638887441254319,-92.093665089717675"
parking,"45.655169700701066,-92.071664931746326"
parking,"45.668729279092418,-91.950198093129387"
parking,"45.187986888520591,-91.17282682034319"
parking,"45.175071909785885,-91.17928009710694"
parking,"45.595369400753377,-92.37695420836134"
parking,"42.998087899117948,-89.519204802196185"
parking,"43.483513768535289,-89.763368356030966"
parking,"43.015433921609585,-89.520083427988126"
parking,"42.706719150842552,-89.071499346725446"
parking,"44.108715095705428,-87.641802262252241"
parking,"44.10601078592002,-87.645316250478842"
parking,"44.100231639992003,-87.649652336477303"
parking,"44.099351605895457,-87.679335272257362"
parking,"45.672983861890224,-92.186115869877042"
parking,"45.204462885486102,-91.21538291696973"
parking,"42.714971374530791,-89.053313780663672"
parking,"43.304183519206845,-89.525604664145419"
parking,"43.355552634160013,-89.601851435264123"
parking,"45.339286680086602,-90.055618931278332"
parking,"44.942832930070516,-89.355005493230067"
parking,"43.459791384192158,-88.221309211597941"
parking,"42.892776439580011,-89.508227361308897"
parking,"42.742353825243114,-89.57926656996905"
parking,"43.313443094878707,-89.542114388196566"
parking,"44.12644765815481,-87.618371766168465"
parking,"44.120596181278486,-87.624127986160047"
parking,"44.098043757835725,-87.692045819633918"
parking,"45.221952355915434,-90.586761197930571"
parking,"45.307896296024218,-89.826984716753046"
parking,"43.497608725982907,-88.195453570608109"
parking,"42.695155699730144,-89.037066420251321"
parking,"42.687162069640699,-89.030634984600567"
parking,"42.682716543635827,-89.024538262065079"
parking,"42.759069724235054,-88.98637335598103"
parking,"45.653962564482953,-91.976632322210776"
parking,"44.093961701938269,-89.489233399276031"
parking,"42.909461661785031,-88.473961463837625"
parking,"44.07563082839448,-89.487326585231898"
parking,"44.694059194600499,-87.490404791114813"
parking,"43.054986466429462,-88.372344848514899"
parking,"42.883336939217678,-88.504604449224388"
parking,"43.051717881737765,-88.414026210244486"
parking,"43.344368366993606,-89.609850951928991"
parking,"42.715590406445131,-89.038439664951198"
parking,"45.414379510935397,-92.625046145569314"
parking,"45.429015051923628,-92.644560054203282"
parking,"45.451423915709434,-92.555681929793622"
parking,"45.639916622212006,-92.118496187320105"
parking,"45.216209659723624,-91.308608524902198"
parking,"45.362105724418655,-90.16800538611858"
parking,"45.353883202932053,-90.094960398598332"
parking,"45.30368100046438,-89.786659951221807"
parking,"43.984531818156682,-89.498465591005697"
parking,"43.470256402009703,-89.755493770993198"
parking,"43.469699939644883,-89.755547188177971"
parking,"43.467997503216992,-89.753450641668479"
parking,"43.467361624626548,-89.746121526880984"
parking,"43.411826521489076,-89.687589012849088"
parking,"43.114457163682694,-89.645591560212679"
parking,"43.11248394489084,-89.648216512546426"
parking,"43.023312818459729,-89.535021432844943"
parking,"42.992890504299311,-89.518157303681789"
parking,"42.681734157504053,-89.022917486457573"
parking,"42.726857468975631,-88.986616178595824"
parking,"43.492481617241452,-88.222231279424776"
parking,"43.723801984133871,-88.097518534847993"
parking,"43.312059238224258,-89.525889078282049"
parking,"44.276968324435238,-87.666268061471371"
