Albany
Alta Junction
Arbor Ridge
Averill-Kelly Creek Wilderness
Baraboo
Bear Lake
Blackhawk
Blue Spring Lake
Blueberry
Bohn Lake
Brooklyn Wildlife
Camp 27
Cedar Lakes
Chaffee Creek
Chippewa Moraine
Chippewa River
City of Lodi
City of Manitowoc
City of Two Rivers
Clover Valley
Cross Plains
Deerfield
Delafield
Dells of the Eau Claire
Devil's Lake
Devil's Staircase
Dunes
Eagle
East Lake
East Twin River
Eastern Lodi Marsh
Emmons Creek
Firth Lake
Forestville
Gandy Dancer
Gibraltar
Grandfather Falls
Grassy Lake
Greenbush
Greenwood
Groves-Pertzborn
Harrison Hills
Hartland
Hartman Creek
Harwood Lakes
Hemlock Creek
Highland Lakes Eastern
Highland Lakes Western
Holy Hill
Indian Creek
Indian Lake
Janesville
Janesville to Milton
Jerry Lake
John Muir Park
Kettlebowl
Kewaskum
Kewaunee River
LaBudde Creek
Lake Eleven
Lapham Peak
Lodi Marsh
Loew Lake
Lumbercamp
Madison
Marquette Trail
McKenzie Creek
Mecan River
Merrimac
Merton
Milton
Milwaukee River (Fond du Lac Co)
Milwaukee River (Washington Co)
Mishicot
Monches
Mondeaux Esker
Monticello
Montrose
New Hope-Iola Ski Hill
Newwood
Northern Blue Hills
Old Railroad
Parnell
Parrish Hills
Pike Lake
Pine Lake
Pine Line
Plover River
Point Beach
Portage Canal
Rib Lake
Ringle
Sand Creek
Sauk Point
Scuppernong
Skunk and Foster Lakes
Slinger
Southern Blue Hills
Southern Kewaskum
Springfield Hill
St. Croix Falls
Stony Ridge
Storrs Lake
Straight Lake
Straight River
Sturgeon Bay
Table Bluff
Thornapple Creek
Timberland Hills
Timberland Wilderness
Tisch Mills
Trade River
Turtle Rock
Tuscobia
Underdown
Valley View
Verona
Waterville
Waupaca River
Wedde Creek
West Bend
Whitewater Lake
Wood Lake
